immigrant_flag,sense_belonging,mental_score,count,percentage
1,1,0,24,0.63
1,1,1,84,2.22
1,1,2,674,17.82
1,1,3,1266,33.47
1,1,4,1728,45.69
1,1,9,6,0.16
1,2,0,48,0.58
1,2,1,335,4.08
1,2,2,2019,24.58
1,2,3,3117,37.94
1,2,4,2683,32.66
1,2,9,13,0.16
1,3,0,37,1.11
1,3,1,275,8.25
1,3,2,1019,30.57
1,3,3,1161,34.83
1,3,4,835,25.05
1,3,9,6,0.18
1,4,0,66,5.88
1,4,1,139,12.38
1,4,2,355,31.61
1,4,3,302,26.89
1,4,4,258,22.97
1,4,9,3,0.27
1,7,0,5,1.73
1,7,1,15,5.19
1,7,2,107,37.02
1,7,3,69,23.88
1,7,4,86,29.76
1,7,9,7,2.42
1,8,1,1,5.26
1,8,2,6,31.58
1,8,3,6,31.58
1,8,4,5,26.32
1,8,9,1,5.26
1,9,9,715,100.0
2,1,0,131,0.69
2,1,1,665,3.52
2,1,2,3554,18.82
2,1,3,7128,37.75
2,1,4,7389,39.14
2,1,9,13,0.07
2,2,0,398,0.91
2,2,1,2445,5.56
2,2,2,11173,25.41
2,2,3,17676,40.2
2,2,4,12224,27.8
2,2,9,52,0.12
2,3,0,498,2.99
2,3,1,1808,10.86
2,3,2,5194,31.2
2,3,3,5734,34.44
2,3,4,3386,20.34
2,3,9,28,0.17
2,4,0,501,9.14
2,4,1,955,17.43
2,4,2,1582,28.87
2,4,3,1405,25.64
2,4,4,1021,18.63
2,4,9,16,0.29
2,7,0,23,3.0
2,7,1,55,7.17
2,7,2,249,32.46
2,7,3,243,31.68
2,7,4,171,22.29
2,7,9,26,3.39
2,8,0,1,1.47
2,8,1,1,1.47
2,8,2,25,36.76
2,8,3,23,33.82
2,8,4,14,20.59
2,8,9,4,5.88
2,9,9,2783,100.0
9,1,0,3,0.6
9,1,1,20,4.03
9,1,2,129,26.01
9,1,3,170,34.27
9,1,4,173,34.88
9,1,9,1,0.2
9,2,0,10,1.04
9,2,1,66,6.86
9,2,2,252,26.2
9,2,3,350,36.38
9,2,4,279,29.0
9,2,9,5,0.52
9,3,0,13,3.07
9,3,1,52,12.29
9,3,2,139,32.86
9,3,3,121,28.61
9,3,4,98,23.17
9,4,0,21,11.67
9,4,1,33,18.33
9,4,2,51,28.33
9,4,3,43,23.89
9,4,4,31,17.22
9,4,9,1,0.56
9,7,0,3,5.17
9,7,1,6,10.34
9,7,2,19,32.76
9,7,3,13,22.41
9,7,4,12,20.69
9,7,9,5,8.62
9,8,0,2,20.0
9,8,2,4,40.0
9,8,3,2,20.0
9,8,4,1,10.0
9,8,9,1,10.0
9,9,9,53,100.0
