province_code,immigrant_flag,mental_score,sense_belonging,province
47,2,2,2,Saskatchewan
47,2,2,3,Saskatchewan
59,2,2,2,British Columbia
13,2,2,2,New Brunswick
46,2,0,3,Manitoba
35,2,3,2,Ontario
35,2,2,3,Ontario
12,2,4,1,Nova Scotia
24,2,3,1,Québec
12,2,4,1,Nova Scotia
35,2,3,1,Ontario
59,2,2,2,British Columbia
24,2,3,2,Québec
10,2,4,1,Newfoundland and Labrador
24,2,2,1,Québec
35,2,3,2,Ontario
35,2,3,1,Ontario
24,2,4,2,Québec
35,2,1,3,Ontario
48,2,2,3,Alberta
48,2,3,2,Alberta
59,2,2,2,British Columbia
13,2,3,2,New Brunswick
47,1,3,1,Saskatchewan
46,2,4,3,Manitoba
24,2,2,4,Québec
59,1,3,2,British Columbia
24,1,4,2,Québec
11,2,2,1,Prince Edward Island
35,1,1,3,Ontario
48,1,4,3,Alberta
35,2,4,2,Ontario
24,2,1,2,Québec
48,1,3,1,Alberta
35,1,4,3,Ontario
13,2,2,3,New Brunswick
24,2,4,1,Québec
48,2,4,2,Alberta
35,2,9,9,Ontario
47,2,3,2,Saskatchewan
24,2,2,2,Québec
35,2,3,1,Ontario
24,2,9,9,Québec
35,2,4,4,Ontario
48,1,1,2,Alberta
24,2,4,2,Québec
10,2,4,1,Newfoundland and Labrador
24,2,3,2,Québec
46,2,3,2,Manitoba
35,2,4,1,Ontario
24,2,4,1,Québec
10,2,1,3,Newfoundland and Labrador
12,2,2,2,Nova Scotia
59,1,4,2,British Columbia
59,2,3,1,British Columbia
24,2,3,2,Québec
59,2,3,3,British Columbia
10,2,3,1,Newfoundland and Labrador
13,2,1,2,New Brunswick
60,2,2,2,Yukon
48,2,4,1,Alberta
46,2,2,2,Manitoba
35,2,4,2,Ontario
24,1,4,3,Québec
46,2,2,4,Manitoba
35,1,3,2,Ontario
46,2,2,1,Manitoba
12,2,4,1,Nova Scotia
35,2,3,2,Ontario
35,2,3,3,Ontario
10,2,2,4,Newfoundland and Labrador
12,2,2,2,Nova Scotia
48,1,3,3,Alberta
35,2,4,1,Ontario
59,2,1,2,British Columbia
59,2,2,1,British Columbia
35,1,4,1,Ontario
59,2,4,1,British Columbia
35,2,3,2,Ontario
24,2,4,2,Québec
35,2,4,3,Ontario
48,1,3,1,Alberta
24,2,4,2,Québec
48,2,4,1,Alberta
35,2,1,1,Ontario
24,1,2,7,Québec
59,2,2,3,British Columbia
47,1,4,2,Saskatchewan
59,2,3,1,British Columbia
48,2,3,1,Alberta
48,2,4,2,Alberta
48,2,2,2,Alberta
60,2,3,1,Yukon
48,2,4,1,Alberta
24,2,3,3,Québec
10,2,3,1,Newfoundland and Labrador
46,2,3,2,Manitoba
24,2,2,2,Québec
48,2,4,2,Alberta
10,2,9,9,Newfoundland and Labrador
12,9,4,1,Nova Scotia
12,1,4,1,Nova Scotia
24,2,2,3,Québec
10,2,3,2,Newfoundland and Labrador
35,2,2,3,Ontario
35,1,1,2,Ontario
46,2,4,1,Manitoba
47,2,2,2,Saskatchewan
24,2,4,3,Québec
35,1,4,2,Ontario
48,2,2,2,Alberta
12,2,1,3,Nova Scotia
35,2,2,2,Ontario
59,2,4,2,British Columbia
47,2,4,1,Saskatchewan
24,2,1,2,Québec
10,2,4,1,Newfoundland and Labrador
35,2,2,2,Ontario
35,2,9,3,Ontario
35,2,3,7,Ontario
35,2,4,2,Ontario
35,2,4,2,Ontario
35,2,2,2,Ontario
48,1,3,3,Alberta
13,2,9,9,New Brunswick
35,2,2,3,Ontario
48,2,3,2,Alberta
59,2,3,3,British Columbia
13,2,4,3,New Brunswick
46,2,4,2,Manitoba
35,2,1,4,Ontario
59,2,4,1,British Columbia
48,2,3,1,Alberta
48,2,4,2,Alberta
35,2,3,2,Ontario
24,2,4,1,Québec
35,2,3,1,Ontario
60,2,3,2,Yukon
46,2,2,2,Manitoba
12,2,2,2,Nova Scotia
35,2,9,9,Ontario
46,2,4,1,Manitoba
35,2,3,2,Ontario
35,9,3,4,Ontario
35,2,4,2,Ontario
24,2,4,1,Québec
59,1,3,2,British Columbia
13,2,2,1,New Brunswick
35,2,2,1,Ontario
24,2,2,2,Québec
13,2,3,3,New Brunswick
10,2,2,3,Newfoundland and Labrador
24,2,2,3,Québec
48,2,2,3,Alberta
24,2,4,2,Québec
46,2,2,1,Manitoba
48,2,3,2,Alberta
48,2,4,2,Alberta
35,2,4,2,Ontario
11,2,3,2,Prince Edward Island
48,1,3,1,Alberta
46,2,3,2,Manitoba
46,2,3,2,Manitoba
35,2,4,2,Ontario
10,2,3,1,Newfoundland and Labrador
59,2,9,9,British Columbia
11,2,4,1,Prince Edward Island
24,2,3,3,Québec
46,2,3,2,Manitoba
48,2,3,1,Alberta
35,2,9,9,Ontario
59,2,3,2,British Columbia
59,2,3,1,British Columbia
24,2,4,3,Québec
35,2,2,2,Ontario
10,2,3,2,Newfoundland and Labrador
47,2,3,2,Saskatchewan
12,2,2,3,Nova Scotia
24,1,4,2,Québec
35,2,9,9,Ontario
47,2,2,1,Saskatchewan
48,2,3,3,Alberta
35,2,3,3,Ontario
24,2,2,2,Québec
47,2,3,2,Saskatchewan
24,2,2,3,Québec
59,1,3,2,British Columbia
24,9,9,9,Québec
35,2,4,3,Ontario
35,2,2,2,Ontario
35,2,2,4,Ontario
48,2,2,2,Alberta
24,2,2,1,Québec
24,1,3,3,Québec
24,2,4,3,Québec
24,2,4,2,Québec
35,2,0,3,Ontario
35,2,3,2,Ontario
48,2,3,2,Alberta
46,2,4,2,Manitoba
11,2,3,1,Prince Edward Island
24,2,2,2,Québec
13,9,3,1,New Brunswick
48,2,3,3,Alberta
59,2,4,3,British Columbia
48,2,3,1,Alberta
24,2,2,3,Québec
35,2,3,4,Ontario
24,2,4,2,Québec
11,2,4,1,Prince Edward Island
35,2,4,2,Ontario
48,1,4,1,Alberta
